Rank,Artist,Title
1,"CKay Feat. Axel & Dj Yo!","love nwantiti [Remix]"
2,"Elton John & Dua Lipa","Cold Heart (PNAU Remix)"
3,"Farruko","Pepas"
4,"Adele","Easy On Me"
5,"Lil Nas X & Jack Harlow","INDUSTRY BABY"
6,"Ed Sheeran","Shivers"
7,"BoyWithUke","Toxic"
8,"The Kid LAROI & Justin Bieber","Stay"
9,"Ed Sheeran","Bad Habits"
10,"Glass Animals","Heat Waves"
11,"Rockwell","Somebody's Watching Me"
12,"Måneskin","Beggin"
13,"CKay Feat. ElGrande Toto","love nwantiti (North African Remix)"
14,"Circles Bob","Frozen"
15,"Big Baby Tape & kizaru","99 Problems"
16,"Shouse","Love Tonight"
17,"Moreart Feat. IHI","Я буду ***ть"
18,"Oliver Tree","Life Goes On"
19,"Monsieur Periné Feat. Vicente García","Nuestra Canción"
20,"Coldplay & BTS","My Universe"
21,"LISA","MONEY"
22,"Drake Feat. Lil Durk & GIVĒON","In The Bible"
23,"Lost Frequencies & Calum Scott","Where Are You Now"
24,"J Balvin & Skrillex","In Da Getto"
25,"Jon Lajoie","Everyday Normal Guy 2"
26,"Lil Nas X","THATS WHAT I WANT"
27,"Acraze Feat. Cherish","Do It To It [Mixed]"
28,"George Michael","Careless Whisper"
29,"Tiësto & KAROL G","Don't Be Shy"
30,"Kanye West","Praise God"
31,"Skylar Grey, Polo G, Mozzy & Eminem","Last One Standing (From Venom: Let There Be Carnage)"
32,"The Weeknd","Take My Breath"
33,"Blackbear","Idfc"
34,"Doja Cat & The Weeknd","You Right"
35,"MC Levin","Sua Amiga Deu"
36,"Andranik","Джованна"
37,"Siouxxie","Masquerade"
38,"CKay","Love Nwantiti (Ah Ah Ah)"
39,"Swedish House Mafia & The Weeknd","Moth To A Flame"
40,"Katy Perry","Harleys In Hawaii"
41,"Doja Cat","Woman"
42,"Doja Cat","Need To Know"
43,"Marshmello & Jonas Brothers","Leave Before You Love Me"
44,"Purple Disco Machine Feat. Eyelar","Dopamine"
45,"Witt Lowry Feat. Ava Max","Into Your Arms"
46,"Billie Eilish","Happier Than Ever"
47,"Joel Corry & Jax Jones Feat. Charli XCX & Saweetie","OUT OUT"
48,"Big Baby Tape & kizaru","Million"
49,"Joeboy","Sip (Alcohol)"
50,"Imagine Dragons","Wrecked"
51,"Enrasta","Джованна"
52,"Cochise","POCKET ROCKET"
53,"Camila Cabello","Don't Go Yet"
54,"Le classico organisé Feat. Lacrim, Alonzo, Mister You, JUL, Niro, Kofs, Le Rat Luciano & DA Uzi","Loi de la calle"
